회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),부채비율,당좌비율,유동비율,이자보상배율(이자비용),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),이자비용(IFRS)(천원),차입금의존도,자기자본구성비율,당기순이익(손실)(IFRS)(천원),감가상각비(백만원),금융비용(백만원),단기차입금(*)(IFRS)(천원),유동성장기부채(*)(IFRS)(천원),장기차입금(*)(IFRS)(천원),법인세비용차감전(계속사업)손익(백만원),매출액영업이익률,자기자본순이익률,총자본순이익률,매출액(수익)(*)(IFRS)(천원),총자본회전률,자기자본회전률,운전자본회전률,순운전자본회전률,재고자산회전률,당좌자산회전률,유동자산회전률,매출액증가율,총자본증가율,자기자본증가율,순이익증가율,유형자산증가율,유동자산증가율,재고자산증가율,영업이익증가율,총자본투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),자산(*)(IFRS)(천원),부채(*)(IFRS)(천원),자본(*)(IFRS)(천원),연구개발비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원)
(주)황등산업,072582,2019/12,07,371.43,530.77,530.82,999999999,,,1.24,21.21,,200.52,-384.59,,,,4411.76,24.95,40.68,7.95,,0.37,1.87,0,0.78,691.89,0.93,0.93,-11.3,-18.6,-5,-38,-0.47,-9.36,-97.16,-41.72,12.43,30.54,14.91,85.09,71.27,,,,,,,
(주)황등산업,072582,2020/12,07,370.11,685.5,696.7,999999999,,,1.13,21.27,,163.13,-334.11,,,,8846.33,40.29,78.26,16.63,,0.5,2.37,0.01,0.94,119.54,1.11,1.1,29.66,9.53,9.84,96.66,19.58,31.7,26958.86,109.42,21.78,45.2,9.31,90.69,73.02,,,,,,,
(주)황등산업,072582,2021/12,07,423.11,539.48,539.79,999999999,,,1.02,19.12,,264.86,-224.74,,,,8884.75,37.97,74.64,15.03,,0.5,2.51,0.01,0.86,127.48,1.02,1.01,10.53,11.07,-0.19,-0.25,36.44,11.5,-95.97,4.16,20.51,42.78,10.91,89.09,69.64,,,,,,,
(주)황등산업,072582,2022/12,07,466.57,505.78,510.75,42.49,,,22.14,17.65,,261.51,-111.21,,,,12964.87,46,92.7,16.92,,0.47,2.58,0,0.92,203.95,1.1,1.09,20.21,44.66,33.57,44.91,2.73,9.93,1739.12,45.62,20.71,51.99,10.16,89.84,69.08,,,,,,,
(주)황림,095304,2019/12,38,1461.2,19.22,19.22,-0.42,,,92.91,6.41,,6.4,74.85,,,,-105.62,0,-23.62,-1.51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07,0,0,0,0,,,,,,,
(주)황림,095304,2020/12,38,4168.44,31.92,31.92,-0.95,,,97.07,2.34,,14.19,247.94,,,,-481.62,-448.62,-73.69,-3.05,,0,0.08,0,0,0,0.01,0.01,0,26.18,-53.85,0,5.86,118.66,0,0,-0.07,-22.31,0,0,0,,,,,,,
(주)황림,095304,2021/12,38,0,29.64,29.64,-343.99,,,100.65,0,,19.58,1.29,,,,-576.38,-6906.34,0,-3.18,,0,0,0,0,0,0,0,-85.71,5.51,0,0,7.49,1.21,0,0,-0.86,-2140.7,0,0,0,,,,,,,
(주)황림,095304,2022/12,38,0,27.89,27.89,-2365.93,,,104.04,0,,7.97,0.26,,,,-681.04,0,0,-3.6,,0,0,0,0,0,0,0,0,3.34,0,0,4.57,0.45,0,0,-0.75,0,0,0,0,,,,,,,
(주)황성,040714,2012/12,68,13745.32,12.76,13.76,1.16,,,62.77,0.72,,212.39,282.33,,,,54.24,27.74,107.66,0.58,,0.13,23.52,0,0.18,19.71,1.71,1.57,-4.9,-0.94,96.27,-49.23,-2.4,18.4,-3.67,-20.47,7.44,58.06,9.49,90.51,7.89,,,,,,,
(주)황솔촌상무점,099823,2020/12,56,642.86,42.92,55.51,0.6,,,77.1,13.46,,380.41,440.07,,,,-196.66,4.17,-15.42,-2.08,,0.67,4.94,0,9.87,121.92,35.74,27.64,0,0,0,0,0,0,0,0,5.55,16.67,1.47,98.53,-18.71,,,,,,,
(주)황솔촌상무점,099823,2021/12,56,661.13,149.77,168,1.68,,,76.17,13.14,,510.77,420.64,,,,246.45,10.65,7.95,1.06,,0.33,2.49,0.01,3.81,52.3,8.37,7.21,4.84,10.94,8.28,0,5.8,201.71,44.39,167.52,7.39,23.5,1.32,98.68,13.6,,,,,,,
(주)황솔촌상무점,099823,2022/12,56,449.86,270.56,285.28,4.61,,,69.76,18.19,,550.59,476.98,,,,1700.9,22.8,40.69,6.42,,0.44,2.78,0.01,3.11,63.76,4.77,4.44,46.06,9.15,51.09,568.14,-2.08,116.02,2.77,212.64,14.38,34.19,2.11,97.89,42.75,,,,,,,
(주)황지,101382,2020/12,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)황지,101382,2021/12,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)황지,101382,2022/12,41,1906.23,10.28,104.85,-1.18,,,86.47,4.98,,9.96,284.59,,,,-597.1,-4.57,-85.83,-7.2,,0.52,6.23,0,0.34,0.57,7.35,0.53,591.81,-7.57,-60.06,0,1252.34,-7.44,-12.23,0,1.53,2.81,209.95,-109.95,-489.64,,,,,,,
(주)황해전기,065728,2012/12,28,94.91,146.28,200.33,0.11,,,39.79,51.31,,133.4,201.86,,,,80.19,0.48,2.64,1.35,,0.8,1.56,0.08,3.28,18.23,6.74,4.92,0,0,0,0,0,0,0,0,7.82,19.6,40.94,59.06,8.65,,,,,,,
(주)황해전기,065728,2013/12,28,104.61,91.02,149.53,-0.95,,,42.84,48.87,,148.53,199.1,,,,-427.66,-3.53,-7.29,-3.65,,0.47,0.93,0.14,1.9,9.19,4.47,3.01,15.63,-2.41,-7.03,0,-0.88,-10.9,29.22,0,3.35,7.08,84.92,15.08,-110.48,,,,,,,
(주)황해전기,065728,2014/12,28,102.75,82.62,169.51,0.73,,,42,49.32,,149.51,181.98,,,,302.61,2.36,5.21,2.56,,0.49,1,0.21,1.81,6.4,5.45,2.94,6.43,4.39,5.35,0,-0.56,30.68,71.2,0,13.84,28.7,53.5,46.5,18.11,,,,,,,
(주)황해전기,065728,2015/12,28,99.96,20.94,43.32,0.41,,,41.39,50.01,,157.2,153.7,,,,220.66,1.1,3.62,1.8,,0.49,1,0.4,1,4.86,5.16,2.5,3.7,2.26,3.68,-27.49,-0.78,15.46,16.36,-51.56,13,26.59,56.75,43.25,13.67,,,,,,,
(주)황해전기,065728,2016/12,28,97.51,102.56,204.73,0.48,,,40.91,50.63,,154.55,120.2,,,,217.12,0.99,3.42,1.72,,0.5,1,0.9,0.97,4.46,4.59,2.26,3.71,2.21,3.48,-2.15,-1.09,14.1,10.21,-6.84,12.18,24.56,64.15,35.85,13.96,,,,,,,
(주)황해전기,065728,2017/12,28,99.81,103.06,185.04,2.13,,,40.44,50.05,,141.96,109.62,,,,157.71,3.79,2.45,1.23,,0.55,1.09,0.7,1.53,4.92,4.38,2.32,10.52,0.78,-0.37,-27.3,-0.36,2.47,-9.03,322.09,11.04,20.29,67.91,32.09,11.12,,,,,,,
(주)황해전기,065728,2018/12,28,93.65,25.2,53.74,4.12,,,39.58,51.64,,133.09,126,,,,384.61,7.87,5.79,2.94,,0.51,1.01,0.75,0.94,4.28,4.1,2.09,-4.44,2.03,5.27,142.14,-0.83,8.89,30.53,98.62,12.85,25.21,58.93,41.07,22.67,,,,,,,
(주)황해전기,065728,2019/12,28,88.45,49.87,89.28,3.95,,,38.27,53.07,,140.72,132.34,,,,409.97,7.7,5.9,3.09,,0.52,1,0.99,0.81,4.15,3.91,2.01,3.31,1.28,4.08,6.75,-1.25,6.08,-11.83,1.03,12.63,24.29,56.63,43.37,24.31,,,,,,,
(주)횡성케이씨,074102,2014/12,10,663.3,195.76,196.89,2.27,,,60.7,13.1,,493.95,241.96,,,,418.02,8.04,61.88,8.11,,1.76,13.45,0,6.83,1788.03,10.36,10.3,0,0,0,0,0,0,0,0,21.08,23.93,31.26,68.74,19.23,,,,,,,
(주)횡성케이씨,074102,2015/12,10,501.34,26.88,27.27,2.2,,,64.28,16.63,,362.43,200.59,,,,353.3,5.42,20.8,3.09,,0.99,6.66,0,1.93,591.2,5.93,5.87,10.5,-2.93,23.21,-24.98,-1.84,-6.22,134.2,-25.46,19.96,19.9,35.25,64.75,15.7,,,,,,,
(주)효광,078127,2015/12,30,333.16,165.59,274.2,3.81,,,59.42,23.09,,174.52,135.86,,,,507.56,3.34,46.11,10.65,,4.06,17.57,0.05,6.2,21.35,14,8.46,0,0,0,0,0,0,0,0,19.18,9.46,49.16,50.84,27.75,,,,,,,
(주)효광,078127,2016/12,30,272.09,249.49,470.73,3.51,,,62.44,26.88,,125.91,157.21,,,,461.3,3.12,17.1,4.27,,2.06,8.26,0.11,3.27,9.67,7.42,4.2,2.74,1.96,18.7,-18.92,-2.42,6.9,26.84,-3.97,18.51,9.06,51.94,48.06,22.86,,,,,,,
(주)효동아이엔씨,096261,2019/12,42,676.24,56,321.68,1.75,,,55.35,12.88,,0,346.19,,,,267.38,3.42,22.5,2.9,,2.5,19.38,0,1.96,3.11,14.74,2.57,0,0,0,0,0,0,0,0,6.6,5.28,26.35,73.65,21.97,,,,,,,
(주)효동아이엔씨,096261,2020/12,42,648.27,43.72,68.13,-6.82,,,54.03,13.36,,0,305.29,,,,244.17,-24.8,12.41,1.63,,0.57,4.33,0.3,0.63,1.34,3.65,0.98,-52.37,9.16,13.24,17.65,22740.61,-74.99,-89.15,0,6.88,12.63,26.48,73.52,22.71,,,,,,,
(주)효동아이엔씨,096261,2021/12,42,532.38,55.44,87.56,0.37,,,50.87,15.81,,0,244.76,,,,120.43,1.11,5.6,0.81,,0.55,3.79,0.07,0.92,5.78,3.3,2.1,-4.18,-10.57,5.83,-50.68,-15.58,23.01,25.93,0,4.81,8.24,32.92,67.08,17.91,,,,,,,
(주)효림개발,085738,2017/12,71,4151.04,101.15,101.15,999999999,,,49.12,2.35,,1.92,-0.53,,,,-18.66,0,-13.27,-0.31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11,0,0,0,0,,,,,,,
(주)효림개발,085738,2018/12,71,528.33,100.48,100.48,-83.71,,,69.37,15.92,,31.84,-393.86,,,,-39.54,0,-15.11,-0.59,,0,0,0,0,0,0,0,0,-87.3,-14.05,0,167.43,-89.13,0,0,-6.73,0,0,0,0,,,,,,,
(주)효림세울,063363,2012/12,13,302.33,8.44,10.17,0.71,,,67.44,24.86,,506.32,582.72,,,,465.2,2.98,4.77,1.38,,0.61,2.12,0,1.17,35.23,6.09,5.19,78.68,48.22,4.73,538.06,92.71,-83.82,-80.92,5.13,7.31,14.21,24.95,75.05,15.83,,,,,,,
(주)효림세울,063363,2013/12,13,301.83,54.07,63.8,3.05,,,67.66,24.89,,466.98,557.35,,,,1557.19,8.61,15.21,3.78,,0.65,2.62,0.11,1.9,45.51,8.33,7.04,37.32,16.63,16.78,253.77,-0.87,526.78,463.44,296.33,9.35,15.42,15.87,84.13,37.57,,,,,,,
(주)효림세울,063363,2014/12,13,170.12,25.13,26.8,2.13,,,57.39,37.02,,492.07,601.94,,,,7308.66,7.2,60.04,19,,0.48,1.52,0,1.11,35.55,4.43,3.94,-10.51,25.45,86.61,509.69,-1.51,-14.48,-65.1,-25.23,21.92,50.68,8.5,91.5,77.88,,,,,,,
(주)효림세울,063363,2015/12,13,158.89,29.16,32.19,3.4,,,55.73,38.63,,555.76,514.29,,,,1344.39,8.68,6.08,2.3,,0.48,1.27,0,1,54.91,4.75,4.37,12.04,1.76,6.18,-86.4,-0.73,19.03,80.36,35.1,6.36,13.36,9.14,90.86,35.86,,,,,,,
(주)효림세울,063363,2016/12,13,157.03,24.22,30.94,4.1,,,54.7,38.91,,579,495.32,,,,1336.48,8.68,7.52,2.92,,0.55,1.41,0,0.89,21.98,4.47,3.71,17.15,4.46,5.21,30.7,-0.43,53.92,254.97,17.15,5.73,10.74,3.66,96.34,49.78,,,,,,,
(주)효림세울,063363,2017/12,13,92.35,18.09,19.49,2.96,,,42.66,51.99,,579.59,436.18,,,,1713.78,8.03,7.4,3.41,,0.39,0.84,0,0.62,18.84,3.68,3.08,-20.02,20.59,61.14,31.66,33.15,-40.78,-80.41,-26.01,5.25,14.82,1.44,98.56,59.39,,,,,,,
(주)효림세울,063363,2018/12,13,107.83,11.82,40.7,1.65,,,46.64,48.12,,533.1,708.23,,,,834.4,7.55,2.85,1.42,,0.28,0.55,0.01,0.49,4.09,4.33,2.1,-16.79,13.38,4.94,-51.29,-1.12,127.15,2140.82,-21.75,3.77,14.51,5.95,94.05,35.49,,,,,,,
(주)효림세울,063363,2019/12,13,74.4,14.16,34.44,0.13,,,39.87,57.34,,452.15,695.64,,,,2668.66,0.52,7.41,3.94,,0.32,0.59,0,0.55,3.11,5.75,2.02,33.31,19.45,42.34,222.58,28.46,0.06,-16.95,-90.84,5.58,19.23,3.88,96.12,64.83,,,,,,,
(주)효림세울,063363,2020/12,13,65.28,20.33,43.37,1.85,,,37.48,60.5,,348.56,342.9,,,,2120.54,5.71,4.48,2.64,,0.24,0.41,0.01,0.48,3.07,3.93,1.72,-18.36,-1.84,3.58,-27.71,-0.69,-8.61,-17.55,799.51,4.22,17.5,3.43,96.57,63.09,,,,,,,
(주)효림세울,063363,2021/12,13,70.82,39.6,62.58,2.3,,,39.56,58.54,,291.75,233.95,,,,1866.06,6.97,3.91,2.32,,0.19,0.33,0.09,0.43,2.85,2.2,1.24,-16.35,7.66,4.17,-9.37,-0.45,43.06,-1.11,1.97,3.5,18.69,6.56,93.44,63.99,,,,,,,
(주)효림세울,063363,2022/12,13,78.86,51.75,66.64,2.81,,,41.29,55.91,,296.82,575.05,,,,2341.06,16.47,4.17,2.39,,0.21,0.36,0,0.37,3.36,1.3,0.94,15.66,9.43,4.51,11.45,-0.18,60.81,-2.13,173.47,4.26,21.49,6.75,93.25,53.62,,,,,,,
(주)효림에이치에프,018830,2012/12,25,177.73,101.7,118.51,3.06,,,40.31,36.01,,1705.78,399.14,,,,1247.4,6.29,11.68,3.82,,1.09,3.33,0.08,1.1,11.82,2.75,2.23,-21.41,-8.09,11.34,-28.86,-3.67,-6.68,-43.13,-29.45,15.41,13.54,21.79,78.21,25.88,,,,,,,
(주)효림에이치에프,018830,2013/12,25,159.95,85.64,93.24,2.48,,,37.3,38.47,,1403.68,307.88,,,,1172.87,5.06,9.08,3.38,,1.07,2.88,0.05,1.09,19.35,2.41,2.15,-4.6,2.49,9.5,-14.17,-4.23,5.65,-39.31,-23.31,14.49,13.68,30.9,69.1,23.05,,,,,,,
(주)효림에이치에프,018830,2014/12,25,147.3,78.89,88.49,3.56,,,31.72,40.44,,1114.23,348.56,,,,1523.47,4.76,10.29,4.06,,1.3,3.29,0.04,1.24,27.66,2.89,2.61,20.45,-3.41,1.53,19.38,-2.05,-7.5,23.18,13.42,16.26,12.31,32.25,67.75,25.39,,,,,,,
(주)효림에이치에프,018830,2015/12,25,129.44,82.13,90.3,3.03,,,36.52,43.58,,1112.26,271.6,,,,962.31,3.35,7.1,2.98,,1.22,2.91,0.04,1.23,26.19,2.91,2.62,-7.64,-0.39,7.36,-27.89,7.5,-8.01,-23.31,-35.04,14.48,11.82,41.17,58.83,20.64,,,,,,,
(주)효림에이치에프,018830,2016/12,25,108.44,103.93,112.01,7,,,28.6,47.98,,1188.21,182.87,,,,1459.54,5.94,9.44,4.32,,1.1,2.41,0.04,1.19,29.27,2.58,2.37,-10.08,-0.16,9.91,44.47,-6.17,7.03,-14.65,59.57,14.88,13.49,30.9,69.1,29.07,,,,,,,
(주)효림에이치에프,018830,2017/12,25,105.72,110.35,119.9,9.19,,,29.33,48.61,,1017.33,173.81,,,,1825.98,6.22,9.89,4.78,,1.27,2.63,0.03,1.33,32.31,2.67,2.47,20.49,8.97,10.41,15.35,-6.85,24.14,37.09,26.2,14.73,12.07,31.77,68.23,31.1,,,,,,,
(주)효림에이치에프,018830,2018/12,25,96.46,111.44,124.86,9.01,,,25.17,50.9,,961.82,171.28,,,,2367.85,6.09,10.52,5.24,,1.3,2.61,0.05,1.27,24.52,2.55,2.31,9.88,6.1,11.1,17.82,0.99,11.48,50.41,7.56,15.94,12.61,31.17,68.83,31.91,,,,,,,
(주)효림에이치에프,018830,2019/12,25,82.7,119.92,134.38,0.82,,,24.56,54.73,,884.76,64.24,,,,4328.19,0.6,16.18,8.6,,0.87,1.64,0.06,1.05,17.27,2.08,1.86,-17,40.08,50.63,103.02,11.12,-3.9,-3.8,-91.81,15.55,20.77,24.6,75.4,47.41,,,,,,,
(주)효림에이치에프,018830,2020/12,25,98.87,108.62,117.09,5.05,,,28.01,50.28,,834.26,201,,,,-1203.06,4.94,-3.69,-1.93,,0.72,1.37,0.06,0.99,20.11,1.96,1.79,-0.13,7.63,-1.12,0,-5.8,11.52,-25.08,719.77,3.05,4.4,106.47,-6.47,-61.04,,,,,,,
(주)효림에이치에프,018830,2021/12,25,148.87,87.84,103.47,2.14,,,40.25,40.18,,779.15,163.54,,,,-1195.65,2.41,-3.78,-1.69,,0.88,1.97,0.08,0.95,15.16,2.08,1.83,40.67,21.79,-2.67,0,1.71,60.6,235.54,-31.39,2.26,2.82,113.21,-13.21,-68.18,,,,,,,
(주)효림에이치에프,018830,2022/12,25,257.44,76.46,87.97,0.61,,,56.78,27.98,,847.68,860.88,,,,-7133.69,1.39,-26.22,-8.85,,0.81,2.39,0.14,0.71,10.41,1.7,1.46,5.98,10.56,-23.02,0,10.13,15.84,0.3,-38.9,-5.6,-7.29,0,0,0,,,,,,,
(주)효명정공,065769,2012/12,25,362.15,121.32,133.61,1.82,,,58.05,21.64,,491.34,208.46,,,,170.3,3.03,15.46,3.35,,2.53,11.7,0.01,4.08,77.62,7.86,7.14,0,0,0,0,0,0,0,0,11.22,8.86,19.89,80.11,14.91,,,,,,,
(주)효명정공,065769,2013/12,25,262.03,69.39,75.58,1.21,,,53.53,27.62,,807.56,293.92,,,,141.64,2.64,4.24,1.06,,1.2,4.79,0.03,1.49,36.36,3.42,3.12,10.5,33.18,70.01,-25.99,27.88,52.65,35.86,-3.9,10.77,10.26,11.66,88.34,8.63,,,,,,,
(주)효명정공,065769,2014/12,25,253.36,66.03,71.43,1.01,,,56.89,28.3,,851.11,274.84,,,,67.97,2.47,1.71,0.48,,0.93,3.32,0.03,1.06,31.55,2.71,2.49,-11.85,-0.71,1.73,-48.61,5.11,-17.16,-23.61,-17.63,10.27,11.01,9.12,90.88,4.68,,,,,,,
(주)효명정공,065769,2015/12,25,251.69,100.91,103.57,3.21,,,56.61,28.43,,1100.13,263.76,,,,624.38,6.66,14.25,4.04,,0.94,3.31,0.02,1.26,56.33,2.87,2.73,8.3,14.8,15.35,802.7,15.38,17.91,-59.93,192.47,15.24,17.33,12.11,87.89,24.82,,,,,,,
(주)효명정공,065769,2016/12,25,147.08,79.3,81.7,9.27,,,46.21,40.47,,1427.02,233.77,,,,2058.4,15.85,32.34,11.1,,0.96,2.81,0.01,1.24,94.65,2.69,2.61,7.34,-3.98,36.68,187.65,-10.48,7.51,23.28,155.58,28.25,28.73,9.28,90.72,40.12,,,,,,,
(주)효명정공,065769,2017/12,25,119.19,87.91,91.38,5.19,,,42.31,45.62,,1190.09,152.09,,,,741.1,7.18,10.8,4.65,,0.91,2.11,0.02,1.06,67.9,2.37,2.29,-8.89,-2.25,10.19,-59.45,-5.06,0.66,30.03,-58.75,17.4,18.99,14.32,85.68,27.02,,,,,,,
(주)효명정공,065769,2018/12,25,113.2,122.61,131.32,2.13,,,39.92,46.9,,999.88,141.4,,,,307.08,3.44,4.43,2.05,,0.8,1.72,0.02,1.14,44.1,2.34,2.23,-12.98,0.17,2.99,-56.36,-0.15,-21.54,37,-58.34,11.94,15,12.25,87.75,17.15,,,,,,,
(주)효명정공,065769,2019/12,25,120.72,174.37,178.88,0.15,,,43.18,45.31,,961.58,100.75,,,,47.06,0.25,0.67,0.31,,0.68,1.48,0.02,1.23,45.98,2.13,2.04,-13.37,2.7,-0.8,-84.62,-4.33,15.19,-56.27,-93.7,9.21,13.72,13.88,86.12,3.33,,,,,,,
(주)효명정공,065769,2020/12,25,112.8,88.71,91.01,1.71,,,43.33,46.99,,823.69,87.85,,,,439.71,2.97,6.18,2.85,,0.54,1.17,0.02,0.83,60.29,1.56,1.52,-19.51,-0.38,3.33,828.24,-5.06,1.47,1.73,856.16,11.16,20.57,13.81,86.19,25.62,,,,,,,
(주)효명정공,065769,2021/12,25,86.05,117.68,121.34,12.8,,,34.1,53.75,,657.32,70.13,,,,1827.14,13.72,19.5,9.84,,0.72,1.43,0.02,1,70.17,2.01,1.95,35.21,3.55,18.44,250.22,-8.2,9.33,30.37,524.79,19.03,26.87,9.62,90.38,50.79,,,,,,,
(주)효명정공,065769,2022/12,25,35.79,373.46,381.54,15.7,,,12.34,73.64,,574.02,85.32,,,,2234.24,15.68,20.52,12.96,,0.85,1.35,0.01,1.3,78.36,2.04,1.99,14.37,-10.33,22.86,27.1,-2.45,15.26,-19.01,30.75,23.99,26.55,9.62,90.38,57.11,,,,,,,
(주)효명종합관리,093745,2019/12,68,123.96,240.11,240.11,999999999,,,0,44.65,,19.86,-38.86,,,,283.27,1.87,38.25,17.08,,8.41,18.84,0.06,6.18,0,8.76,8.76,0,0,0,0,0,0,0,0,395.58,94.03,97.18,2.82,2.16,,,,,,,
(주)효명종합관리,093745,2020/12,68,123.49,260.54,260.54,999999999,,,0,44.75,,20.27,-41.78,,,,179.28,1.22,11.78,5.27,,3.79,8.47,0.15,2.82,0,3.94,3.94,-4.44,12.28,12.52,-34.52,-6.39,12.41,0,-37.91,334.11,93.31,97.88,2.12,1.49,,,,,,,
(주)효명종합관리,093745,2021/12,68,128.25,244.24,244.24,999999999,,,0,43.81,,23.8,-44,,,,123.21,0.63,6.14,2.71,,3.39,7.67,0.16,2.64,0,3.69,3.69,7.7,27.48,24.82,-38.01,300.4,17.04,0,-44.66,277.03,91.58,98.5,1.5,0.87,,,,,,,
(주)효명종합관리,093745,2022/12,68,151.21,245.01,245.01,72.46,,,0,39.81,,24.19,-48.77,,,,121.85,0.53,5.14,2.14,,3.35,8.03,0.16,2.66,0,3.74,3.74,19.36,15.87,5.28,-4.5,-27.63,18.62,0,0.34,287.96,92.41,98.88,1.12,0.69,,,,,,,
(주)효산개발,082189,2016/12,41,598.94,50.2,106.4,7.92,,,30.14,14.31,,11.92,110.92,,,,786.66,3.57,73.14,10.46,,3.77,26.38,0.02,2.7,9.93,11.12,5.24,0,0,0,0,0,0,0,0,16.59,8.79,52.09,47.91,31.53,,,,,,,
(주)효산개발,082189,2017/12,41,725.4,93.49,106.7,20.34,,,24.13,12.12,,26.68,89.04,,,,1614.81,2.74,44.46,5.71,,3.44,26.8,0.04,2.24,17.67,5.74,4.33,175.25,101.81,70.89,64.68,-0.11,133.21,-45.34,111.31,11.98,4.66,40.89,59.11,35.63,,,,,,,
(주)효산개발,082189,2018/12,41,272.43,103.6,118.25,40.87,,,26.71,26.85,,85.45,110.89,,,,4583.68,7.89,77.27,15.12,,2.24,11.43,0.04,1.44,21.96,3.1,2.72,-12.15,2.14,126.38,257.82,5.21,-0.12,0,152.9,26.4,11.93,30.92,69.08,56.66,,,,,,,
(주)효산개발,082189,2019/12,41,258.28,114.58,128.58,12.72,,,31.03,27.91,,99.81,17.18,,,,1915.7,3.89,18.07,4.95,,1.7,6.2,0.05,1.16,18.17,2.38,2.11,-17.23,15.46,20.02,-64.32,-1.66,13.79,0,-59.25,19.22,12.11,61.29,38.71,24.05,,,,,,,
(주)효산개발,082189,2020/12,41,358.4,111.53,119.23,-0.71,,,59.67,21.82,,88.59,14.03,,,,-644.53,-2.23,-13.44,-3.31,,0.85,3.44,0.08,0.58,12.37,1.15,1.05,-42.38,15.64,-9.61,0,-1.25,16.95,-30.64,0,14.42,18.24,102.14,-2.14,-21.42,,,,,,,
(주)효산개발,082189,2021/12,41,637.91,85.51,96.52,-4.47,,,61.82,13.55,,74.12,206.98,,,,-4724.13,-57.45,-101.49,-19.24,,0.29,1.51,0.47,0.2,4.9,0.42,0.39,-72.25,-47.27,-67.25,0,-2.47,-59.85,-29.15,0,3.97,9.55,620.6,-520.6,-701.64,,,,,,,
(주)효산개발,082189,2022/12,41,381.66,118.35,129.79,-5.33,,,61.8,20.76,,44.38,307.41,,,,942.68,-156.82,30.61,5.19,,0.08,0.48,0,0.06,1.2,0.13,0.12,-81.48,-10.44,37.21,0,-99.33,6.1,-17.98,0,18.19,211.4,47.11,52.89,30.19,,,,,,,
(주)효산엔지니어링,103309,2021/12,42,1198.94,157.11,157.11,3.12,,,60.47,7.7,,21.77,120.04,,,,297.17,3.5,80.34,6.18,,2.51,32.63,0,2.09,0,3.42,3.42,0,0,0,0,0,0,0,0,15.65,12.46,68.59,31.41,19.75,,,,,,,
(주)효산엔지니어링,103309,2022/12,42,1501.96,121.27,121.27,1.55,,,49.83,6.24,,34.89,-7.46,,,,643.53,1.77,56.66,3.79,,2.39,35.7,0,1.66,0,2.94,2.94,207.48,123.23,81.01,98.2,88.4,158.19,0,55.51,7.95,4.6,52.98,47.02,34.53,,,,,,,
(주)효석,042499,2012/12,38,88.59,86.41,112.07,21.25,,,20.71,53.03,,1770.71,87.32,,,,4236.53,13.01,36.2,16.9,,1.76,3.77,0.14,1.78,15.26,4.53,3.49,14.85,6.17,40.85,248.53,16.48,-2.81,-2.66,196.49,39.6,23.16,26.72,73.28,41.44,,,,,,,
(주)효석,042499,2013/12,38,72.81,46.42,102.71,2.98,,,22.15,57.87,,1842.31,77.68,,,,558.18,2.3,4.64,2.57,,1.22,2.2,0.3,1.44,7.64,4.36,2.78,-32.26,-9.49,-1.23,-85.1,2.28,-27.24,74.14,-88.02,24.08,18.82,43.12,56.88,11.22,,,,,,,
(주)효석,042499,2014/12,38,77.12,57.61,112.66,2.52,,,21.28,56.46,,1917.82,61.44,,,,229.83,1.37,2.08,1.19,,1.4,2.45,0,1.72,6.41,6.83,3.31,9.08,-0.54,-2.96,-56.1,-15.41,17.61,4.86,-34.95,19.78,14.09,38.63,61.37,6.03,,,,,,,
(주)효석,042499,2015/12,38,86.08,84.76,120.29,14.1,,,14.86,53.74,,1822.03,37.93,,,,1082.18,5.7,7.5,4.13,,1.53,2.78,0,1.7,8.23,5.13,3.16,12.45,6.04,0.94,256.88,-5.6,17.66,-28.87,367.49,25.11,16.86,40.09,59.91,15.99,,,,,,,
(주)효석,042499,2016/12,38,76.72,90.39,122.15,7.92,,,15.53,56.59,,1723.74,14.55,,,,652.17,2.41,5.71,3.15,,1.38,2.51,0.21,1.5,9.86,3.8,2.75,-9.53,-4.94,0.09,-23.53,-9.49,-7.33,-18.43,-61.76,21.13,14.91,38.86,61.14,15.28,,,,,,,
(주)효석,042499,2017/12,38,76.2,93.26,136.97,10.21,,,15.56,56.75,,1773.81,4.13,,,,706.85,3.04,5.74,3.25,,1.35,2.38,0.25,1.44,8.74,3.59,2.55,-4.97,-0.24,0.05,0.67,-14.48,12.99,38.65,19.78,22.91,16.97,41.31,58.69,14.22,,,,,,,
(주)효석,042499,2018/12,38,77.25,122.48,153.3,8.99,,,15.33,56.42,,1711.87,5.62,,,,964.4,2.21,7.35,4.16,,1.74,3.07,0.4,1.73,11.38,3.92,2.92,29.75,1.55,0.94,28.66,-16.88,13.4,-28.54,-5.59,24.28,14.08,40.84,59.16,17,,,,,,,
